name;myShopNumber;brandId;Posteringstekst;Artskonto;PSP
Klub Fårup;155841;;MP Klub Fårup;72000000;XG-0000002668-00014
Klub Hornbæk;227388;;MP Klub Hornbæk;72000000;XG-0000002668-00016
Ungemiljø NORD;344205;;MP Ungemiljø NORD;72000000;XG-0000002668-00021
Klub Langå;910387;;MP Klub Langå;72000000;XG-0000002668-00017
Klub Harridslev;310450;;MP Klub Harridslev;72000000;XG-0000002668-00015
Klub Assentoft;646778;;MP Klub Assentoft;72000000;XG-0000002668-00012
Ungemiljø Syd;917050;;MP Ungemiljø Syd;72000000;XG-0000002668-00022
Fantasifabrikken;778357;;MP Fantasifabrikken;72000000;XG-0000002668-00011
Klub Øster Tørslev;280120;;MP Klub Øster Tørslev;72000000;XG-0000002668-00019
Klub Spentrup;692988;;MP Klub Spentrup;72000000;XG-0000002668-00018
Ungemiljø Midt/Kaosambassaden;654227;;MP Ungemiljø Midt/Kaosambassaden;72000000;XG-0000002668-00020
Randers Ungdomsskole - undervisning;758343;;MP Randers Ungdomsskole - undervisning;79000000;XG-0000002667-00008
Ungdomsklubben Bjerregrav;265828;;MP Ungdomsklubben Bjerregrav;72000000;XG-0000002668-00013
Museum Østjylland;573604;;MP Museum Østjylland;95941300;
Søndermarkskolen;694520;;MP Søndermarkskolen;72000000;XG-0000002531-00016
Hobrovejens Skole;797898;;MP Hobrovejens Skole;72000000;XG-0000002439-00024
Randers Kommune Fritidsaktiviteter (CHI);430074;;MP Randers Kommune Fritidsaktiviteter (CHI);79000000;XG-0000003070-00001
Tirsdalens Skole;231633;;MP Tirsdalens Skole;72000000;XG-0000002544-00025
Østervangsskolen;448873;;MP Østervangsskolen;72000000;XG-0000002568-00049
Grønhøjskolen;977572;;MP Grønhøjskolen;72000000;XG-0000002415-00039
Kristrup Skole;686410;;MP Kristrup Skole;72000000;XG-0000002475-00016
Rismølleskolen;254904;;MP Rismølleskolen;72000000;XG-0000002521-00031
Nørrevangsskolen;866110;;MP Nørrevangsskolen;72000000;XG-0000002511-00021
Oust Mølle Rock;355004;;MP Oust Mølle Rock;72000000;XG-0000002663-00002
Personalebet. Tirsdalens Skole;958295;;MP Personalebet. Tirsdalens Skole;72000000;XG-0000002548-00001
Randers specialskoler;429274;;MP Randers specialskoler;72000000;XG-0000002890-00056
Cafe Thors Bakke;575147;;MP Cafe Thors Bakke;72000000;XG-0000004526-00039
Fårup Ældrecenter;151330;;MP Fårup Ældrecenter;72000000;XG-0000004526-00048
Korshøjskolen;591851;;MP Korshøjskolen;72000000;XG-0000002465-00047
Randers Bibliotek, Betalingstermnial;834138;;MP Randers Bibliotek, Betalingstermnial;95941203;
Langå Skole - Misical/skolefest;387202;;MP Langå Skole - Misical/skolefest;72000000;XG-0000002488-00025
CBR Randers;616946;;MP CBR Randers;90100011;
Center for Psykiatri Indsats;601986;;MP Center for Psykiatri Indsats;72000000;XG-0000003038-00126
Condomeriet, Randers Sundhedscenter;238451;;MP Condomeriet, Randers Sundhedscenter;72000000;XG-0000004204-00002
Fårup Skole og Børneby;783487;;MP Fårup Skole og Børneby;72000000;XG-0000002402-00024
Gaia Butik;713400;;MP Gaia Butik;72000000;XG-0000003040-00018
Café Gaia Papaya;816912;;MP Café Gaia Papaya;72000000;XG-0000003040-00046
Hjernecenter Randers;293622;;MP Hjernecenter Randers;79000000;XG-0000003020-00050
KFUMs Fritidsgård, Solgården;221686;;MP KFUMs Fritidsgård, Solgården;72000000;XG-0000002633-00003
