Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
72000000;;XG-0000002668-00020;;;Kredit;65;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
90510000;;;;;Debet;65;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
79000000;;XG-0000002667-00008;;;Kredit;2.300;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.300;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
72000000;;XG-0000002415-00039;;;Kredit;2.490;;MP Grønhøjskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.490;;MP Grønhøjskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002511-00021;;;Kredit;2.756;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.756;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002548-00001;;;Kredit;138;;MP Personalebet. Tirsdalens Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;138;;MP Personalebet. Tirsdalens Skole;;;;;;;;;;;;;;;;
72000000;;XG-0000002890-00056;;;Kredit;232;;MP Randers specialskoler;;;;;;;;;;;;;;;;
90510000;;;;;Debet;232;;MP Randers specialskoler;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00039;;;Kredit;180;;MP Cafe Thors Bakke;;;;;;;;;;;;;;;;
90510000;;;;;Debet;180;;MP Cafe Thors Bakke;;;;;;;;;;;;;;;;
72000000;;XG-0000002488-00025;;;Kredit;100;;MP Langå Skole - Misical/skolefest;;;;;;;;;;;;;;;;
90510000;;;;;Debet;100;;MP Langå Skole - Misical/skolefest;;;;;;;;;;;;;;;;
90100011;;;;;Kredit;810;;MP CBR Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;810;;MP CBR Randers;;;;;;;;;;;;;;;;
72000000;;XG-0000003038-00126;;;Kredit;1.601;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.601;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
72000000;;XG-0000004204-00002;;;Kredit;12;;MP Condomeriet, Randers Sundhedscenter;;;;;;;;;;;;;;;;
90510000;;;;;Debet;12;;MP Condomeriet, Randers Sundhedscenter;;;;;;;;;;;;;;;;
72000000;;XG-0000003040-00046;;;Kredit;275;;MP Café Gaia Papaya;;;;;;;;;;;;;;;;
90510000;;;;;Debet;275;;MP Café Gaia Papaya;;;;;;;;;;;;;;;;
79000000;;XG-0000005086-00001;;;Kredit;200;;MP Randers Flyveplads;;;;;;;;;;;;;;;;
90510000;;;;;Debet;200;;MP Randers Flyveplads;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00045;;;Kredit;139;;MP Plejehjemmet Kildevang;;;;;;;;;;;;;;;;
90510000;;;;;Debet;139;;MP Plejehjemmet Kildevang;;;;;;;;;;;;;;;;
95930008;;;;;Kredit;432;;MP Sprogcentret-Kantinekøb;;;;;;;;;;;;;;;;
90510000;;;;;Debet;432;;MP Sprogcentret-Kantinekøb;;;;;;;;;;;;;;;;
72000000;;XG-0000002890-00056;;;Kredit;895;;MP Trekløverskolen Borup byvej salatordning;;;;;;;;;;;;;;;;
90510000;;;;;Debet;895;;MP Trekløverskolen Borup byvej salatordning;;;;;;;;;;;;;;;;
79000000;;XG-0000003038-00040;;;Kredit;100;;MP Dagtilbuddet Aktivitetscenter Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;100;;MP Dagtilbuddet Aktivitetscenter Randers;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;39;;MP MOE Kulturhuset;;;;;;;;;;;;;;;;
90510000;;;;;Debet;39;;MP MOE Kulturhuset;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;88;;MP MOE Håndværksmuseet;;;;;;;;;;;;;;;;
90510000;;;;;Debet;88;;MP MOE Håndværksmuseet;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;20;;MP Kollektivhuset;;;;;;;;;;;;;;;;
90510000;;;;;Debet;20;;MP Kollektivhuset;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00041;;;Kredit;85;;MP Vorup Plejehjem;;;;;;;;;;;;;;;;
90510000;;;;;Debet;85;;MP Vorup Plejehjem;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00051;;;Kredit;863;;MP Caféen Orangeriet Huset Nyvang;;;;;;;;;;;;;;;;
90510000;;;;;Debet;863;;MP Caféen Orangeriet Huset Nyvang;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00037;;;Kredit;389;;MP Nellemann;;;;;;;;;;;;;;;;
90510000;;;;;Debet;389;;MP Nellemann;;;;;;;;;;;;;;;;
72000000;;xg-0000004526-00018;;;Kredit;358;;MP Madservice Kronjylland ;;;;;;;;;;;;;;;;
90510000;;;;;Debet;358;;MP Madservice Kronjylland ;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00026;;;Kredit;357;;MP Cafe Åbakken;;;;;;;;;;;;;;;;
90510000;;;;;Debet;357;;MP Cafe Åbakken;;;;;;;;;;;;;;;;
79000000;;XG-0000002555-00002;;;Kredit;34;;MP Vestervangsskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;34;;MP Vestervangsskolen;;;;;;;;;;;;;;;;
79000000;;XG-0000002564-00001;;;Kredit;410;;MP Vestervangsskolen Juniorklubben;;;;;;;;;;;;;;;;
90510000;;;;;Debet;410;;MP Vestervangsskolen Juniorklubben;;;;;;;;;;;;;;;;
95932400;;;;;Kredit;490;;MP CSV;;;;;;;;;;;;;;;;
90510000;;;;;Debet;490;;MP CSV;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;24;;MP Svaleparken ;;;;;;;;;;;;;;;;
90510000;;;;;Debet;24;;MP Svaleparken ;;;;;;;;;;;;;;;;
72000000;;XG-0000002461-00001;;;Kredit;500;;MP Hornbæk Juniorklub;;;;;;;;;;;;;;;;
90510000;;;;;Debet;500;;MP Hornbæk Juniorklub;;;;;;;;;;;;;;;;
72000000;;XG-0000002484-00001;;;Kredit;350;;MP Fritidsklubben Vennelyst;;;;;;;;;;;;;;;;
90510000;;;;;Debet;350;;MP Fritidsklubben Vennelyst;;;;;;;;;;;;;;;;
79000000;;XG-0000002452-00024;;;Kredit;2.400;;MP Hornbæk Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.400;;MP Hornbæk Skole;;;;;;;;;;;;;;;;
79000000;;XG-0000003397-00016;;;Kredit;14.585;;MP Sprogcenter Til Webshop;;;;;;;;;;;;;;;;
90510000;;;;;Debet;14.585;;MP Sprogcenter Til Webshop;;;;;;;;;;;;;;;;
72000000;;XG-0000003078-00122;;;Kredit;370;;MP Møbelcirklen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;370;;MP Møbelcirklen;;;;;;;;;;;;;;;;
79000000;;XG-0000002426-00017;;;Kredit;2.550;;MP Havndal Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.550;;MP Havndal Skole;;;;;;;;;;;;;;;;
79000000;;xg-2369-22;;;Kredit;1.440;;MP Assentoftskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.440;;MP Assentoftskolen;;;;;;;;;;;;;;;;
79000000;;XA-9258200001-00041;;;Kredit;590;;MP Giv Randers et træ;;;;;;;;;;;;;;;;
90510000;;;;;Debet;590;;MP Giv Randers et træ;;;;;;;;;;;;;;;;
79000000;;XG-0000003397-00050;;;Kredit;95;;MP Kaffeautomater-Sprogcenter Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;95;;MP Kaffeautomater-Sprogcenter Randers;;;;;;;;;;;;;;;;
