Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
95990009;;;;;Kredit;1494,00;;undefined - Cap Viborg Kommune                 Meddelnr. 07004198123249;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1494,00;;undefined - Cap Viborg Kommune                 Meddelnr. 07004198123249;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;27890,00;;undefined - Cap SYGEDAGP.tlf89405555           Meddelnr. 07004263823249;;;;;;;;;;;;;;;;
90540000;;;;;Debet;27890,00;;undefined - Cap SYGEDAGP.tlf89405555           Meddelnr. 07004263823249;;;;;;;;;;;;;;;;
95990009;;;;;Debet;23360,00;;undefined - Cap Sygedagpenge;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;23360,00;;undefined - Cap Sygedagpenge;;;;;;;;;;;;;;;;
95990009;;;;;Debet;1350,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1350,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;8710,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8710,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;930,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;930,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;11319,48;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;11319,48;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;854,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;854,00;;undefined - Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;20600,00;;undefined - Cap Boliglån;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;20600,00;;undefined - Cap Boliglån;;;;;;;;;;;;;;;;
95990009;;;;;Debet;39920,85;;undefined - RG-230908 29 ACONTO;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;39920,85;;undefined - RG-230908 29 ACONTO;;;;;;;;;;;;;;;;
95990009;;;;;Debet;39761,17;;undefined - Rekvireret udbetalin;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;39761,17;;undefined - Rekvireret udbetalin;;;;;;;;;;;;;;;;
95990009;;;;;Debet;13238,24;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;13238,24;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;8336,82;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8336,82;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;43510,50;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;43510,50;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;10195,00;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;10195,00;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;109488,01;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;109488,01;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;3585,94;;undefined - NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;3585,94;;undefined - NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;11437249,88;;undefined - Leverandørudbetaling;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;11437249,88;;undefined - Leverandørudbetaling;;;;;;;;;;;;;;;;
95990009;;;;;Debet;4574895,79;;undefined - Leverandørudbetaling;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4574895,79;;undefined - Leverandørudbetaling;;;;;;;;;;;;;;;;
95990009;;;;;Debet;50,00;;undefined - Gebyr udland 74640137370509236387  B230905M1713105;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;50,00;;undefined - Gebyr udland 74640137370509236387  B230905M1713105;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;144498,52;;undefined - Indbetalingskort K 89182816-06.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;144498,52;;undefined - Indbetalingskort K 89182816-06.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;18157,63;;undefined - Indbetalingskort K 86446707-06.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;18157,63;;undefined - Indbetalingskort K 86446707-06.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1100,00;;undefined - Indbetalingskort K 86446707-05.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1100,00;;undefined - Indbetalingskort K 86446707-05.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;9180,00;;undefined - Indbetalingskort K 86136228-06.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9180,00;;undefined - Indbetalingskort K 86136228-06.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;583317,25;;undefined - Indbetalingskort K 84788767-06.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;583317,25;;undefined - Indbetalingskort K 84788767-06.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;133,60;;undefined - Indbetalingskort K 84788767-05.09;;;;;;;;;;;;;;;;
90540000;;;;;Debet;133,60;;undefined - Indbetalingskort K 84788767-05.09;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;58777,57;;undefined - Bs betaling KON konto 0970205918;;;;;;;;;;;;;;;;
90540000;;;;;Debet;58777,57;;undefined - Bs betaling KON konto 0970205918;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;10470,00;;undefined - Bgs Pens.Peter B. Jakobs           en 090361-udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;10470,00;;undefined - Bgs Pens.Peter B. Jakobs           en 090361-udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2500,00;;undefined - Bgs Pens.Danijel Milenko           vic 240583udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2500,00;;undefined - Bgs Pens.Danijel Milenko           vic 240583udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5232,00;;undefined - Bgs Pens. Nicklas Hansen           +041188 udbt. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5232,00;;undefined - Bgs Pens. Nicklas Hansen           +041188 udbt. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14096,81;;undefined - Bgs Overførsel                     Meddelnr. 03171944123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14096,81;;undefined - Bgs Overførsel                     Meddelnr. 03171944123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6176,00;;undefined - Bgs pens. Debbie Bak + 2           10989 udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6176,00;;undefined - Bgs pens. Debbie Bak + 2           10989 udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5133,00;;undefined - Indbetaling 72000000XG-3397-50;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5133,00;;undefined - Indbetaling 72000000XG-3397-50;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;19,00;;undefined - Indbetaling Sprogcenter Rds.;;;;;;;;;;;;;;;;
90540000;;;;;Debet;19,00;;undefined - Indbetaling Sprogcenter Rds.;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;31,00;;undefined - Indbetaling madservice;;;;;;;;;;;;;;;;
90540000;;;;;Debet;31,00;;undefined - Indbetaling madservice;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6650,00;;undefined - Pengeautomat 011786 07.09 kl12.38  2700-78 eksnr. 1570;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6650,00;;undefined - Pengeautomat 011786 07.09 kl12.38  2700-78 eksnr. 1570;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;15000,00;;undefined - Pengeautomat 006983 07.09 kl12.59  2700-78 eksnr. 1572;;;;;;;;;;;;;;;;
90540000;;;;;Debet;15000,00;;undefined - Pengeautomat 006983 07.09 kl12.59  2700-78 eksnr. 1572;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;13250,00;;undefined - Pengeautomat 006980 07.09 kl12.05  2700-78 eksnr. 1562;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13250,00;;undefined - Pengeautomat 006980 07.09 kl12.05  2700-78 eksnr. 1562;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1011,00;;undefined - Dankort-salg 06.09 6256651 838NW8;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;undefined - Dankort-salg 06.09 6256651 838NW8;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;25,00;;undefined - Dankort-salg 06.09 6256651 83PH3J;;;;;;;;;;;;;;;;
90540000;;;;;Debet;25,00;;undefined - Dankort-salg 06.09 6256651 83PH3J;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;299,00;;undefined - Dankort-salg 06.09 6256651 8VB5JB;;;;;;;;;;;;;;;;
90540000;;;;;Debet;299,00;;undefined - Dankort-salg 06.09 6256651 8VB5JB;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1011,00;;undefined - Dankort-salg 06.09 6256651 774761;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;undefined - Dankort-salg 06.09 6256651 774761;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1011,00;;undefined - Dankort-salg 06.09 6256651 64C74J;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;undefined - Dankort-salg 06.09 6256651 64C74J;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1011,00;;undefined - Dankort-salg 06.09 6256651 6H8UKM;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;undefined - Dankort-salg 06.09 6256651 6H8UKM;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;270,00;;undefined - Dankort-salg 06.09 6256651 54JU3H;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;undefined - Dankort-salg 06.09 6256651 54JU3H;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;270,00;;undefined - Dankort-salg 06.09 6256651 5K1H6J;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;undefined - Dankort-salg 06.09 6256651 5K1H6J;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;499,00;;undefined - Dankort-salg 06.09 6256651 3IOC42;;;;;;;;;;;;;;;;
90540000;;;;;Debet;499,00;;undefined - Dankort-salg 06.09 6256651 3IOC42;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;299,00;;undefined - Dankort-salg 06.09 6256651 2XTOW2;;;;;;;;;;;;;;;;
90540000;;;;;Debet;299,00;;undefined - Dankort-salg 06.09 6256651 2XTOW2;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;270,00;;undefined - Dankort-salg 06.09 6256651 2MKDE7;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;undefined - Dankort-salg 06.09 6256651 2MKDE7;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1011,00;;undefined - Dankort-salg 06.09 6256651 W6VNVD;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;undefined - Dankort-salg 06.09 6256651 W6VNVD;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;400,00;;undefined - Dankort-salg 06.09 6256651 W5JEOB;;;;;;;;;;;;;;;;
